AC32520,"AC32520 Taxation, Fiscal Policy And Public Sector Finance",93,C,Sports Cage,Wednesday,7/1/2015,9:30,1.5 Hours,Management & Business
BRM2010,BRM2010 Reproductive Physiology,10,A,Arts Centre - Great Hall,Wednesday,7/1/2015,9:30,3 Hours,"Biological, Environmental and Rural Sciences"
CS32310,CS32310 Advanced Computer Graphics,34,BB,Penbryn - MedRus 1 Wasdell,Wednesday,7/1/2015,9:30,2 Hours,Computer Science
CY10610,CY10610 Llenyddiaeth O 1900 Hyd Heddiw,16,D,Padarn 1.00,Wednesday,7/1/2015,9:30,2 Hours,Welsh
CY35320,"CY35320 Rhyddiaith Tri Chwarter Canrif, 1900-79",35,B,Penbryn - MedRus Main,Wednesday,7/1/2015,9:30,2 Hours,Welsh
DA10610,DA10610 Amgylcheddau Wyneb Y Ddaear,15,PC,Llandinam B23 & Physical Sciences 112,Wednesday,7/1/2015,9:30,1.5 Hours,Geography & Earth Sciences
EC10120,EC10120 Economic Principles And Skills 1*,67,D,Padarn 1.00,Wednesday,7/1/2015,9:30,2 Hours,Management & Business
EC10510,EC10510 Economic Principles 1*,5,D,Padarn 1.00,Wednesday,7/1/2015,9:30,2 Hours,Management & Business
ECM4520,ECM4520 International Financial Regulation,14,A,Arts Centre - Great Hall,Wednesday,7/1/2015,9:30,3 Hours,Management & Business
ED12710,ED12710 Study Skills,67,,Departmental Room,Wednesday,7/1/2015,9:30,6 Hours,Education & Lifelong Learning
EN20720,EN20720 Nineteenth Century Literature,134,A,Arts Centre - Great Hall,Wednesday,7/1/2015,9:30,3 Hours,English & Creative Writing
GG10610,GG10610 Earth Surface Environments,161,PC,Llandinam B23 & Physical Sciences 112,Wednesday,7/1/2015,9:30,1.5 Hours,Geography & Earth Sciences
HP37330,"HP37330 Gwaith, Cymuned A Gwleidyddiaeth Ym Meysydd Glo Prydain, C. 1850-1947",5,C,Sports Cage,Wednesday,7/1/2015,9:30,2 Hours,History & Welsh History
HQ34130,"HQ34130 Kingship, Politics And Power: England, C.1100-C.1250",12,C,Sports Cage,Wednesday,7/1/2015,9:30,2 Hours,History & Welsh History
HQ36630,"HQ36630 British Society And The French Revolution, 1789-1803",14,C,Sports Cage,Wednesday,7/1/2015,9:30,2 Hours,History & Welsh History
HQ38130,HQ38130 Stalin And Stalinism,14,C,Sports Cage,Wednesday,7/1/2015,9:30,2 Hours,History & Welsh History
HQ38230,HQ38230 The Third Reich,13,C,Sports Cage,Wednesday,7/1/2015,9:30,2 Hours,History & Welsh History
HQ39130,"HQ39130 Refugees In America, 1933- 1995",7,C,Sports Cage,Wednesday,7/1/2015,9:30,2 Hours,History & Welsh History
IP33320,IP33320 Nato: The Making And Breaking Of Alliances,61,B,Penbryn - MedRus Main,Wednesday,7/1/2015,9:30,2 Hours,International Politics
LA15710,LA15710 Foundations Of Law,89,C,Sports Cage,Wednesday,7/1/2015,9:30,1.5 Hours,Law & Criminology
MA34110,MA34110 Partial Differential Equations,59,B,Penbryn - MedRus Main,Wednesday,7/1/2015,9:30,2 Hours,Mathematics
PH03010,PH03010 Introduction To The Physics Of Matter*,42,DD,Padarn 1.05,Wednesday,7/1/2015,9:30,2 Hours,Physics
BR11710,BR11710 Biological Molecules And Methods,339,C,Sports Cage,Wednesday,7/1/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
BR23110,BR23110 Principles Of Veterinary Science*,32,DD,Padarn 1.05,Wednesday,7/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
CS28310,CS28310 Introduction To Business Processes For Web Developers,41,B,Penbryn - MedRus Main,Wednesday,7/1/2015,14:00,2 Hours,Computer Science
EA30120,EA30120 Environmental Geochemistry,19,A,Arts Centre - Great Hall,Wednesday,7/1/2015,14:00,3 Hours,Geography & Earth Sciences
GF14230,GF14230 Systemau A Sgiliau Cyfreithiol*,6,D,Padarn 1.00,Wednesday,7/1/2015,14:00,1.5 Hours,Law & Criminology
GF14720,GF14720 Systemau A Sgiliau Cyfreithiol Ar Gyfer Cynlluniau Ba*,1,D,Padarn 1.00,Wednesday,7/1/2015,14:00,1.5 Hours,Law & Criminology
GG30420,GG30420 River Systems And Global Environmental Change,20,B,Penbryn - MedRus Main,Wednesday,7/1/2015,14:00,2 Hours,Geography & Earth Sciences
